Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
360,1,1000,-16863,1120,16900.15,20.96,27.65
492,1,2000,277,11,277.22,20.96,27.65
583,1,3000,136,20,137.46,20.96,27.65
651,1,4000,52,31,60.54,20.96,27.65
707,1,5000,24,38,44.94,20.96,27.65
756,1,6000,26,34,42.8,20.96,27.65
798,1,7000,26,31,40.46,20.96,27.65
835,1,8000,16,39,42.15,20.96,27.65
869,1,9000,7,42,42.58,20.96,27.65
900,1,10000,12,39,40.8,20.96,27.65
929,1,11000,16,35,38.48,20.96,27.65
956,1,12000,5,44,44.28,20.96,27.65
981,1,13000,4,44,44.18,20.96,27.65
1005,1,14000,8,41,41.77,20.96,27.65
1028,1,15000,9,40,41,20.96,27.65
1050,1,16000,6,43,43.42,20.96,27.65
1070,1,17000,8,44,44.72,20.96,27.65
1090,1,18000,8,41,41.77,20.96,27.65
1110,1,19000,7,41,41.59,20.96,27.65
1128,1,20000,4,48,48.17,20.96,27.65
1146,1,21000,6,48,48.37,20.96,27.65
1163,1,22000,7,46,46.53,20.96,27.65
1180,1,23000,7,45,45.54,20.96,27.65
1196,1,24000,7,48,48.51,20.96,27.65
1212,1,25000,9,48,48.84,20.96,27.65
1228,1,26000,8,46,46.69,20.96,27.65
1243,1,27000,6,46,46.39,20.96,27.65
1258,1,28000,10,52,52.95,20.96,27.65
1273,1,29000,10,51,51.97,20.96,27.65
1287,1,30000,11,49,50.22,20.96,27.65
1301,1,31000,7,48,48.51,20.96,27.65
1315,1,32000,8,51,51.62,20.96,27.65
1328,1,33000,10,52,52.95,20.96,27.65
1342,1,34000,12,49,50.45,20.96,27.65
1356,1,35000,10,51,51.97,20.96,27.65
1368,1,36000,13,55,56.52,20.96,27.65
1381,1,37000,10,51,51.97,20.96,27.65
1394,1,38000,14,54,55.79,20.96,27.65
1406,1,39000,14,54,55.79,20.96,27.65
1418,1,40000,16,56,58.24,20.96,27.65
1430,1,41000,13,55,56.52,20.96,27.65
1443,1,42000,10,55,55.9,20.96,27.65
1454,1,43000,13,54,55.54,20.96,27.65
1466,1,44000,16,57,59.2,20.96,27.65
1478,1,45000,10,58,58.86,20.96,27.65
1489,1,46000,14,58,59.67,20.96,27.65
1500,1,47000,13,60,61.39,20.96,27.65
1511,1,48000,16,58,60.17,20.96,27.65
1523,1,49000,12,60,61.19,20.96,27.65
1534,1,50000,15,62,63.79,20.96,27.65
1545,1,51000,16,62,64.03,20.96,27.65
1555,1,52000,14,61,62.59,20.96,27.65
1567,1,53000,15,60,61.85,20.96,27.65
1577,1,54000,13,62,63.35,20.96,27.65
1588,1,55000,15,62,63.79,20.96,27.65
